date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2017.06,262,"컴, 투게더",2017-05-11,754000,0.0%,18125100,97,2379,8,43,한국,한국,"스토리 너머,파인스토리"
2017.06,262,풍운의 젠다성,,255000,0.0%,2841000,97,1390,1,5,미국,미국,
2017.06,266,MSFF2017 4만번의 구타 2,,570000,0.0%,570000,95,95,1,1,한국,한국,
2017.06,267,007 살인번호,,196000,0.0%,18916000,93,9446,1,8,영국,영국,
2017.06,268,MSFF2017 비정성시 3,,546000,0.0%,546000,90,90,1,1,한국,한국,
2017.06,269,잉글리쉬 페이션트,1997-03-15,492000,0.0%,175172500,89,23531,1,1,미국,미국,(주)영화사오원
2017.06,269,그 남자 흉폭하다,,624000,0.0%,1180000,89,163,1,2,일본,일본,
2017.06,271,미치광이 피에로,,788000,0.0%,3456000,88,458,1,1,프랑스,"프랑스,이탈리아",
2017.06,272,그녀,2014-05-22,672000,0.0%,2889748541,87,355189,1,4,미국,미국,"주식회사 더쿱,유니버설픽쳐스인터내셔널 코리아(유)"
2017.06,273,아비정전,1990-12-22,507000,0.0%,121184000,86,16715,1,1,홍콩,홍콩,(주)디스테이션
2017.06,273,본 투 비 블루,2016-06-09,1269000,0.0%,766090624,86,93973,1,2,캐나다,"캐나다,영국,미국",그린나래미디어(주)
2017.06,275,물랑루즈,2001-10-26,502500,0.0%,131542155,85,19471,1,2,미국,미국,"(주)프레인글로벌,이십세기폭스필름코퍼레이션"
2017.06,275,언어와의 작별,,1018000,0.0%,1018000,85,85,1,1,프랑스,프랑스,
2017.06,275,MSFF2017 희극지왕 2,,509000,0.0%,509000,85,85,1,1,한국,한국,
2017.06,275,찬란함의 무덤,,764000,0.0%,997000,85,130,1,1,태국,"태국,프랑스",
2017.06,279,죽은 시인의 사회,1990-05-19,389000,0.0%,436507700,84,58075,1,3,미국,미국,"(주)드림팩트엔터테인먼트,브에나비스타픽쳐스"
2017.06,280,호우시절,2009-10-08,592000,0.0%,2140980500,83,287940,1,32,한국,"한국,중국",(주)넥스트엔터테인먼트월드(NEW)
2017.06,280,수색자,,229000,0.0%,12026000,83,5319,1,3,미국,미국,
2017.06,282,해안가로의 여행,,738000,0.0%,2315000,82,333,1,1,일본,일본,(주)영화사 진진
2017.06,283,잔다르크,,162000,0.0%,5252000,81,2621,1,12,미국,미국,
